LC,product,sr_level,temp,category,sub_category,off_on_ratio
11,24,1.1651204407222369,hot,1,3,0.7730377274534261
12,24,1.518959024666364,hot,1,3,0.7327767599319351
13,24,1.5225519742823157,hot,1,3,0.7951698244081796
14,24,0.8199067068901515,hot,1,3,0.724850286447715
15,24,0.8803080835107888,hot,1,3,0.6542733659377674
16,24,0.8937371180179543,hot,1,3,0.6596334487976675
0,25,0.11501839356347114,hot,1,3,1.3167010232012186
1,25,0.09923800640855518,hot,1,3,0.8865073642820652
2,25,0.08398356410364803,hot,1,3,0.732611988541346
3,25,0.08757103028021512,hot,1,3,0.770081026140536
4,25,0.11317703077776534,hot,1,3,0.930715474203331
5,25,0.05854619092000784,hot,1,3,0.9806748131358176
6,25,0.06792067803338356,hot,1,3,1.0964356931003736
7,25,0.14657746981965483,hot,1,3,0.6272751454847484
8,25,0.052996787518256816,hot,1,3,0.9185414091094091
9,25,0.1115845800284636,hot,1,3,0.8563005874225169
10,25,0.04322818151729104,hot,1,3,0.8657116567563637
11,25,0.08480455763855593,hot,1,3,0.7880308946859087
12,25,0.14142162715118606,hot,1,3,0.8124432073593041
13,25,0.13474321129863792,hot,1,3,0.9890671720051732
14,25,0.09252842870529349,hot,1,3,0.926713222209849
15,25,0.0531751177702063,hot,1,3,1.0282912356013398
16,25,0.08957778229853426,hot,1,3,0.816994691885023
0,26,9.11328872995211,hot,2,5,0.7971598638956621
1,26,4.75259247019615,hot,2,5,0.7389719606888474
2,26,4.986922050256882,hot,2,5,0.8100123162195072
3,26,4.709208232262214,hot,2,5,0.80071968412384
4,26,3.48156411026051,hot,2,5,0.9160078892132634
5,26,4.789984729480313,hot,2,5,0.7685273385700137
6,26,3.230170987207568,hot,2,5,0.630669852141247
8,26,3.077737142631518,hot,2,5,0.6694851185090932
9,26,3.913414635939321,hot,2,5,0.7861308810188888
10,26,1.3349551633528152,hot,2,5,0.7141920183579463
11,26,5.777522311973943,hot,2,5,0.8499177854685351
12,26,6.2277308210692315,hot,2,5,0.8542846865278471
13,26,2.583307935924794,hot,2,5,0.7708209991151155
14,26,3.1938798103017074,hot,2,5,0.7972690584597941
15,26,3.565962446885931,hot,2,5,0.552705407627781
16,26,3.426604852848898,hot,2,5,0.8789318152582875
0,27,16.742790701975977,hot,3,16,1.328874663021839
1,27,12.452649573697231,hot,3,16,1.1141271966206907
2,27,6.125290406811508,hot,3,16,1.2296610306452034
3,27,7.860903151468982,hot,3,16,1.156352210769764
4,27,12.561955162784386,hot,3,16,1.079947462003481
5,27,5.7046103282837155,hot,3,16,1.1730009708288365
6,27,8.122095248011929,hot,3,16,1.1971665242829201
7,27,10.074190771262831,hot,3,16,0.9683312810800868
8,27,10.724170646155832,hot,3,16,1.153539202107425
9,27,8.846749515071163,hot,3,16,1.1545994091014369
10,27,6.506666130304206,hot,3,16,1.0520256266993604
11,27,11.149674045709915,hot,3,16,1.14908381163922
12,27,5.675031330254976,hot,3,16,1.3440224578725861
13,27,9.793333594869996,hot,3,16,1.098419197043288
14,27,8.786015196439443,hot,3,16,1.0562199929998486
15,27,4.579356061688823,hot,3,16,1.0881021719825785
16,27,10.214208629512353,hot,3,16,1.1057515203369088
0,28,0.24635935746956467,cold,0,7,2.302163510163373
1,28,1.4120485887169798,cold,0,7,2.05090422308274
2,28,2.0170767468620623,cold,0,7,1.7700993493603356
3,28,0.968504636940716,cold,0,7,2.152754525465579
4,28,1.0187939620314614,cold,0,7,1.6161530601594591
5,28,1.9564518478474675,cold,0,7,1.7500792315378368
6,28,2.4509346925467415,cold,0,7,2.043533638934351
8,28,5.52094812056967,cold,0,7,1.8694776210049855
9,28,2.0341513396980675,cold,0,7,2.0272819837943543
10,28,6.385513103087954,cold,0,7,1.586996291113999
11,28,1.190628383907804,cold,0,7,2.0492122670402857
12,28,1.9839439718027745,cold,0,7,2.2443332762296335
13,28,4.593660751679159,cold,0,7,1.7254109910745008
14,28,2.37428271903759,cold,0,7,1.6586800637418162
15,28,7.853852077352005,cold,0,7,1.7533707723863456
16,28,1.820949529750575,cold,0,7,1.7476945543966649
0,29,19.220458015972028,hot,2,14,1.0668918966531185
1,29,15.887732383032901,hot,2,14,1.0825075659286638
2,29,21.621529200275344,hot,2,14,1.0974303950722464
3,29,24.752218681867635,hot,2,14,1.0621660221142764
4,29,17.402793024484723,hot,2,14,1.1422060179028015
5,29,19.38117314847917,hot,2,14,1.0
6,29,23.98525858695567,hot,2,14,1.06507893033246
7,29,21.321803849773783,hot,2,14,0.9117870718183718
8,29,33.389516695741804,hot,2,14,1.0
9,29,19.093864277362435,hot,2,14,1.0452092024166346
10,29,14.06547117660648,hot,2,14,0.9460937733550668
11,29,14.237197435362306,hot,2,14,1.0440252994850212
12,29,24.491552662381707,hot,2,14,1.1287789294296058
13,29,19.61946328330056,hot,2,14,1.0315477414921101
